#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GABRA2	MAOA	9606.ENSP00000427603	9606.ENSP00000340684	0	0	0	0	0.042	0	0	0.430	0.430
GABRA2	SCN8A	9606.ENSP00000427603	9606.ENSP00000346534	0	0	0	0	0.115	0	0	0.360	0.409
GABRA2	GABRA5	9606.ENSP00000427603	9606.ENSP00000382953	0	0	0.054	0.970	0.154	0	0.540	0.174	0.655
GABRA2	GABRG2	9606.ENSP00000427603	9606.ENSP00000410732	0	0	0.082	0.861	0.196	0.322	0.540	0.238	0.793
GABRA2	GRIA3	9606.ENSP00000427603	9606.ENSP00000481554	0	0	0	0	0.110	0	0	0.516	0.551
GABRA5	GABRB2	9606.ENSP00000382953	9606.ENSP00000274547	0	0	0.084	0.826	0.201	0.305	0.540	0.235	0.788
GABRA5	NTRK2	9606.ENSP00000382953	9606.ENSP00000277120	0	0	0	0	0.160	0	0	0.458	0.526
GABRA5	PPP3CA	9606.ENSP00000382953	9606.ENSP00000378323	0	0	0	0	0.067	0.071	0	0.442	0.474
GABRA5	NDN	9606.ENSP00000382953	9606.ENSP00000497916	0	0	0	0	0.103	0	0	0.522	0.553
GABRA5	GRIA3	9606.ENSP00000382953	9606.ENSP00000481554	0	0	0	0	0.122	0	0	0.535	0.574
GABRA5	SNRPN	9606.ENSP00000382953	9606.ENSP00000494831	0	0	0	0	0.086	0	0	0.571	0.591
GABRA5	GABRG2	9606.ENSP00000382953	9606.ENSP00000410732	0	0	0.071	0.895	0.239	0.346	0.540	0.112	0.776
GABRB2	MTHFR	9606.ENSP00000274547	9606.ENSP00000365770	0	0	0	0	0	0	0	0.401	0.400
GABRB2	GRIA3	9606.ENSP00000274547	9606.ENSP00000481554	0	0.001	0	0	0.176	0	0	0.386	0.472
GABRB2	GABRG2	9606.ENSP00000274547	9606.ENSP00000410732	0	0	0.084	0.806	0.333	0.927	0.540	0.566	0.989
GABRG2	SCN8A	9606.ENSP00000410732	9606.ENSP00000346534	0	0	0	0	0.174	0	0	0.682	0.726
GABRG2	STXBP1	9606.ENSP00000410732	9606.ENSP00000362399	0	0	0	0	0.177	0	0	0.576	0.637
GABRG2	KCNA2	9606.ENSP00000410732	9606.ENSP00000487785	0	0	0	0	0.196	0	0	0.375	0.476
GABRG2	GRIA3	9606.ENSP00000410732	9606.ENSP00000481554	0	0	0	0	0.153	0	0	0.423	0.491
GAMT	GATM	9606.ENSP00000403536	9606.ENSP00000379895	0	0	0	0	0.126	0.064	0.913	0.967	0.997
GRIA3	GRIN2D	9606.ENSP00000481554	9606.ENSP00000263269	0	0	0	0.594	0.055	0.071	0.720	0.280	0.799
GRIA3	NTRK2	9606.ENSP00000481554	9606.ENSP00000277120	0	0	0	0	0.144	0.046	0	0.575	0.622
GRIA3	SLC1A2	9606.ENSP00000481554	9606.ENSP00000278379	0	0	0	0	0.141	0	0	0.412	0.473
GRIA3	STXBP1	9606.ENSP00000481554	9606.ENSP00000362399	0	0	0	0	0.087	0	0	0.774	0.784
GRIA3	KCNA2	9606.ENSP00000481554	9606.ENSP00000487785	0	0	0	0	0.144	0	0	0.335	0.407
GRIN2D	SLC1A2	9606.ENSP00000263269	9606.ENSP00000278379	0	0	0	0	0.067	0.071	0	0.427	0.460
HCN1	KCNA2	9606.ENSP00000307342	9606.ENSP00000487785	0	0	0	0	0.120	0	0	0.493	0.534
HDAC4	YY1	9606.ENSP00000264606	9606.ENSP00000262238	0	0	0	0	0.056	0.644	0	0.855	0.947
HDAC4	PTEN	9606.ENSP00000264606	9606.ENSP00000361021	0	0	0	0	0.085	0.056	0	0.412	0.448
HDAC4	SMAD4	9606.ENSP00000264606	9606.ENSP00000341551	0	0	0	0	0.074	0.054	0	0.473	0.498
HDAC4	HDAC8	9606.ENSP00000264606	9606.ENSP00000362674	0	0	0.181	0.654	0.049	0.288	0	0.394	0.619
HDAC4	SIN3A	9606.ENSP00000264606	9606.ENSP00000378402	0	0	0	0	0.071	0.736	0	0.822	0.952
HDAC4	YWHAG	9606.ENSP00000264606	9606.ENSP00000306330	0	0	0	0	0.066	0.982	0	0.422	0.989
HDAC8	YY1	9606.ENSP00000362674	9606.ENSP00000262238	0	0	0	0	0	0.091	0	0.740	0.754
HDAC8	NIPBL	9606.ENSP00000362674	9606.ENSP00000282516	0	0	0	0	0.130	0.071	0	0.861	0.878
HDAC8	RAD21	9606.ENSP00000362674	9606.ENSP00000297338	0	0	0	0	0.061	0.072	0.400	0.758	0.856
HDAC8	SMC1A	9606.ENSP00000362674	9606.ENSP00000323421	0	0	0	0	0.235	0.178	0.400	0.797	0.913
HDAC8	SMC3	9606.ENSP00000362674	9606.ENSP00000354720	0	0	0	0	0.049	0.243	0.400	0.837	0.920
HDAC8	KDM5C	9606.ENSP00000362674	9606.ENSP00000364550	0	0	0	0	0.141	0.109	0	0.284	0.405
HDAC8	SIN3A	9606.ENSP00000362674	9606.ENSP00000378402	0	0	0	0	0.070	0.477	0	0.905	0.949
HEPACAM	SLC1A2	9606.ENSP00000298251	9606.ENSP00000278379	0	0	0	0	0.111	0	0	0.413	0.456
HESX1	PROKR2	9606.ENSP00000498190	9606.ENSP00000217270	0	0	0	0	0	0.072	0	0.699	0.708
HESX1	SOX2	9606.ENSP00000498190	9606.ENSP00000323588	0	0	0	0	0.047	0	0	0.725	0.727
HESX1	SOX3	9606.ENSP00000498190	9606.ENSP00000359567	0	0	0	0	0.047	0	0	0.768	0.770
IL1RAPL1	KDM5C	9606.ENSP00000368278	9606.ENSP00000364550	0	0	0	0	0.085	0	0	0.620	0.637
IL1RAPL1	SHANK3	9606.ENSP00000368278	9606.ENSP00000489407	0	0	0	0	0	0.095	0	0.364	0.400
IL1RAPL1	NLGN4X	9606.ENSP00000368278	9606.ENSP00000370483	0	0	0	0	0.163	0.127	0	0.525	0.623
JMJD1C	NIPBL	9606.ENSP00000382204	9606.ENSP00000282516	0	0	0	0	0.505	0	0	0.212	0.594
JMJD1C	KDM5C	9606.ENSP00000382204	9606.ENSP00000364550	0	0	0	0	0.049	0	0	0.463	0.468
JMJD1C	RREB1	9606.ENSP00000382204	9606.ENSP00000369270	0	0	0	0	0.057	0	0	0.450	0.459
KCNA2	SCN3A	9606.ENSP00000487785	9606.ENSP00000283254	0	0	0	0	0.113	0.094	0	0.503	0.566
KCNA2	SCN8A	9606.ENSP00000487785	9606.ENSP00000346534	0	0	0	0	0.123	0.094	0	0.732	0.769
KCNA2	KCNB1	9606.ENSP00000487785	9606.ENSP00000360806	0	0	0.118	0.835	0.117	0.109	0	0.903	0.923
KCNA2	STXBP1	9606.ENSP00000487785	9606.ENSP00000362399	0	0	0	0	0.090	0	0	0.418	0.448
KCNB1	SCN8A	9606.ENSP00000360806	9606.ENSP00000346534	0	0	0	0	0.074	0.070	0	0.626	0.650
KCNB1	STXBP1	9606.ENSP00000360806	9606.ENSP00000362399	0	0	0	0	0.055	0	0	0.414	0.423
KCNB1	ZBTB20	9606.ENSP00000360806	9606.ENSP00000419153	0	0	0	0	0.107	0	0	0.394	0.435
KCNB1	PRKAR1A	9606.ENSP00000360806	9606.ENSP00000376475	0	0	0	0	0.054	0	0.500	0.166	0.571
KDM5C	TSC2	9606.ENSP00000364550	9606.ENSP00000219476	0	0	0	0	0.224	0	0	0.312	0.443
KDM5C	TSC1	9606.ENSP00000364550	9606.ENSP00000298552	0	0	0	0	0.110	0.305	0	0.183	0.451
KDM5C	SMC1A	9606.ENSP00000364550	9606.ENSP00000323421	0	0	0	0	0.210	0.065	0	0.677	0.740
KDM5C	PTEN	9606.ENSP00000364550	9606.ENSP00000361021	0	0	0	0	0.045	0.046	0	0.432	0.437
KDM5C	MED12	9606.ENSP00000364550	9606.ENSP00000363193	0	0	0	0	0.396	0	0	0.470	0.666
KDM5C	RPL10	9606.ENSP00000364550	9606.ENSP00000413436	0	0	0	0	0.392	0.054	0	0.125	0.453
KDM5C	NLGN4X	9606.ENSP00000364550	9606.ENSP00000370483	0	0	0	0	0.068	0	0	0.522	0.536
KDM5C	SIN3A	9606.ENSP00000364550	9606.ENSP00000378402	0	0	0	0	0.152	0.114	0	0.525	0.612
KLLN	SEC23B	9606.ENSP00000392204	9606.ENSP00000338844	0	0	0	0	0	0	0	0.507	0.507
KLLN	PTEN	9606.ENSP00000392204	9606.ENSP00000361021	0	0	0	0	0.059	0	0	0.507	0.516
KLLN	SDHB	9606.ENSP00000392204	9606.ENSP00000364649	0	0	0	0	0	0	0	0.437	0.437
MAN1B1	SLC35C1	9606.ENSP00000360645	9606.ENSP00000313318	0	0	0	0	0.109	0	0	0.404	0.446
MAOA	NTRK2	9606.ENSP00000340684	9606.ENSP00000277120	0	0	0	0	0.077	0.047	0	0.430	0.456
MAOA	PAH	9606.ENSP00000340684	9606.ENSP00000448059	0	0	0	0	0	0	0	0.406	0.406
MAOA	MTHFR	9606.ENSP00000340684	9606.ENSP00000365770	0	0	0	0	0	0	0	0.420	0.420
MAOA	NDP	9606.ENSP00000340684	9606.ENSP00000495811	0	0	0	0	0.049	0	0	0.505	0.509
MED12	PIK3CA	9606.ENSP00000363193	9606.ENSP00000263967	0	0	0	0	0.049	0	0	0.444	0.448
MED12	UPF3B	9606.ENSP00000363193	9606.ENSP00000276201	0	0	0	0	0.099	0	0	0.379	0.416
MED12	MED13L	9606.ENSP00000363193	9606.ENSP00000281928	0	0	0	0	0.161	0.900	0.800	0.977	0.999
MED12	NIPBL	9606.ENSP00000363193	9606.ENSP00000282516	0	0	0	0	0.101	0.081	0	0.718	0.746
MED12	RAD21	9606.ENSP00000363193	9606.ENSP00000297338	0	0	0	0	0.075	0	0	0.382	0.404
MED12	SMC1A	9606.ENSP00000363193	9606.ENSP00000323421	0	0	0	0	0.151	0	0	0.471	0.532
MED12	SMC3	9606.ENSP00000363193	9606.ENSP00000354720	0	0	0	0	0.067	0	0	0.494	0.508
MED12	PTEN	9606.ENSP00000363193	9606.ENSP00000361021	0	0	0	0	0	0.174	0	0.396	0.479
MED13L	NIPBL	9606.ENSP00000281928	9606.ENSP00000282516	0	0	0	0	0.263	0.081	0	0.359	0.528
MTHFR	SATB2	9606.ENSP00000365770	9606.ENSP00000401112	0	0	0	0	0	0	0	0.400	0.400
NDN	SOX2	9606.ENSP00000497916	9606.ENSP00000323588	0	0	0	0	0.087	0.295	0	0.181	0.427
NDN	SNRPN	9606.ENSP00000497916	9606.ENSP00000494831	0	0	0	0	0.111	0	0	0.938	0.943
NECAP1	SYNJ1	9606.ENSP00000491067	9606.ENSP00000409667	0	0	0	0	0.097	0.095	0.540	0.345	0.721
NFIB	YY1	9606.ENSP00000370340	9606.ENSP00000262238	0	0	0	0	0.042	0.294	0	0.205	0.416
NFIB	SOX2	9606.ENSP00000370340	9606.ENSP00000323588	0	0	0	0	0.048	0.607	0	0.402	0.757
NFIB	TBR1	9606.ENSP00000370340	9606.ENSP00000374205	0	0	0	0	0	0.308	0	0.282	0.482
NHS	PIK3CA	9606.ENSP00000369400	9606.ENSP00000263967	0	0	0	0	0	0.072	0.400	0.052	0.426
NIPBL	YY1	9606.ENSP00000282516	9606.ENSP00000262238	0	0	0	0	0.062	0	0	0.547	0.557
NIPBL	SOX2	9606.ENSP00000282516	9606.ENSP00000323588	0	0	0	0	0.059	0.178	0	0.296	0.407
NIPBL	SMC3	9606.ENSP00000282516	9606.ENSP00000354720	0	0	0	0	0.287	0.995	0.500	0.998	0.999
NIPBL	RAD21	9606.ENSP00000282516	9606.ENSP00000297338	0	0	0	0	0.152	0.986	0.500	0.960	0.999
NIPBL	SMC1A	9606.ENSP00000282516	9606.ENSP00000323421	0	0	0	0	0.128	0.990	0.500	0.997	0.999
NLGN4X	STS	9606.ENSP00000370483	9606.ENSP00000217961	0	0	0	0	0.112	0	0	0.369	0.415
NLGN4X	TSC2	9606.ENSP00000370483	9606.ENSP00000219476	0	0	0	0	0	0	0	0.459	0.459
NLGN4X	PTEN	9606.ENSP00000370483	9606.ENSP00000361021	0	0	0	0	0	0.060	0	0.548	0.556
NLGN4X	SHANK3	9606.ENSP00000370483	9606.ENSP00000489407	0	0	0	0	0.055	0.077	0.500	0.991	0.995
NONO	SIN3A	9606.ENSP00000276079	9606.ENSP00000378402	0	0	0	0	0.122	0.297	0	0.254	0.499
NTRK2	PIK3CA	9606.ENSP00000277120	9606.ENSP00000263967	0	0	0	0	0.050	0.069	0.500	0.353	0.675
NTRK2	PTEN	9606.ENSP00000277120	9606.ENSP00000361021	0	0	0	0	0	0.092	0	0.404	0.435
NTRK2	SLC1A2	9606.ENSP00000277120	9606.ENSP00000278379	0	0	0	0	0.149	0	0	0.398	0.465
NUS1	PARS2	9606.ENSP00000357480	9606.ENSP00000360327	0.111	0	0	0	0.595	0	0	0	0.624
OTX2	PROKR2	9606.ENSP00000500595	9606.ENSP00000217270	0	0	0	0	0.062	0	0	0.481	0.492
OTX2	SOX2	9606.ENSP00000500595	9606.ENSP00000323588	0	0	0	0	0.167	0.091	0	0.896	0.914
OTX2	SOX3	9606.ENSP00000500595	9606.ENSP00000359567	0	0	0	0	0.126	0.091	0	0.764	0.796
OTX2	TBR1	9606.ENSP00000500595	9606.ENSP00000374205	0	0	0	0	0	0.079	0	0.470	0.491
PDE4D	PRKAR1A	9606.ENSP00000345502	9606.ENSP00000376475	0	0	0	0	0.082	0.065	0	0.618	0.643
PIK3CA	TSC2	9606.ENSP00000263967	9606.ENSP00000219476	0	0	0	0	0	0	0	0.687	0.687
PIK3CA	PPP3CA	9606.ENSP00000263967	9606.ENSP00000378323	0	0	0	0	0.064	0	0	0.427	0.441
PIK3CA	TSC1	9606.ENSP00000263967	9606.ENSP00000298552	0	0	0	0	0.049	0	0	0.439	0.443
PIK3CA	SOX2	9606.ENSP00000263967	9606.ENSP00000323588	0	0	0	0	0	0	0	0.506	0.506
PIK3CA	SYNJ1	9606.ENSP00000263967	9606.ENSP00000409667	0	0	0	0	0.113	0	0.650	0.125	0.704
PIK3CA	SMAD4	9606.ENSP00000263967	9606.ENSP00000341551	0	0	0	0	0.210	0	0	0.763	0.805
PIK3CA	PTEN	9606.ENSP00000263967	9606.ENSP00000361021	0	0	0	0	0.112	0.134	0.900	0.949	0.995
PLXND1	PTEN	9606.ENSP00000317128	9606.ENSP00000361021	0	0	0	0	0.103	0	0	0.451	0.486
PPP3CA	PTEN	9606.ENSP00000378323	9606.ENSP00000361021	0	0	0	0	0.088	0.332	0	0.227	0.489
PRKAR1A	SDHB	9606.ENSP00000376475	9606.ENSP00000364649	0	0	0	0	0.093	0	0	0.471	0.500
PRKAR1A	SDHD	9606.ENSP00000376475	9606.ENSP00000364699	0	0	0	0	0.059	0	0	0.444	0.454
PROKR2	STS	9606.ENSP00000217270	9606.ENSP00000217961	0	0	0	0	0.067	0	0	0.468	0.482
PROKR2	SOX3	9606.ENSP00000217270	9606.ENSP00000359567	0	0	0	0	0.042	0	0	0.541	0.541
PTEN	TSC2	9606.ENSP00000361021	9606.ENSP00000219476	0	0	0	0	0	0	0	0.889	0.889
PTEN	YY1	9606.ENSP00000361021	9606.ENSP00000262238	0	0	0	0	0.079	0.067	0	0.618	0.644
PTEN	TSC1	9606.ENSP00000361021	9606.ENSP00000298552	0	0	0	0	0	0.113	0	0.785	0.801
PTEN	SOX2	9606.ENSP00000361021	9606.ENSP00000323588	0	0	0	0	0	0.045	0	0.741	0.743
PTEN	SMAD4	9606.ENSP00000361021	9606.ENSP00000341551	0	0	0	0	0.072	0.053	0	0.908	0.912
PTEN	REV3L	9606.ENSP00000361021	9606.ENSP00000351697	0	0	0	0	0.099	0.050	0	0.436	0.475
PTEN	SDHC	9606.ENSP00000361021	9606.ENSP00000356953	0	0	0	0	0	0	0	0.669	0.669
PTEN	WWOX	9606.ENSP00000361021	9606.ENSP00000457230	0	0	0	0	0.104	0.091	0	0.363	0.436
PTEN	SHANK3	9606.ENSP00000361021	9606.ENSP00000489407	0	0	0	0	0.053	0.084	0	0.452	0.483
PTEN	SDHD	9606.ENSP00000361021	9606.ENSP00000364699	0	0	0	0	0.044	0	0	0.624	0.625
PTEN	SDHB	9606.ENSP00000361021	9606.ENSP00000364649	0	0	0	0	0.048	0	0	0.666	0.668
PTEN	SYNJ1	9606.ENSP00000361021	9606.ENSP00000409667	0	0	0	0	0.044	0.045	0.900	0.333	0.930
RAD21	YY1	9606.ENSP00000297338	9606.ENSP00000262238	0	0	0	0	0.357	0.142	0	0.836	0.902
RAD21	SIN3A	9606.ENSP00000297338	9606.ENSP00000378402	0	0	0	0	0.138	0	0	0.452	0.507
RAD21	SMC1A	9606.ENSP00000297338	9606.ENSP00000323421	0	0	0	0	0.553	0.999	0.900	0.998	0.999
RAD21	SMC3	9606.ENSP00000297338	9606.ENSP00000354720	0	0	0	0	0.526	0.999	0.900	0.999	0.999
SATB2	YY1	9606.ENSP00000401112	9606.ENSP00000262238	0	0	0	0	0	0.053	0	0.472	0.479
SATB2	SOX2	9606.ENSP00000401112	9606.ENSP00000323588	0	0	0	0	0.045	0.057	0	0.540	0.550
SATB2	SMAD4	9606.ENSP00000401112	9606.ENSP00000341551	0	0	0	0	0	0	0	0.495	0.495
SATB2	TBR1	9606.ENSP00000401112	9606.ENSP00000374205	0	0	0	0	0.105	0	0	0.891	0.898
SATB2	SIN3A	9606.ENSP00000401112	9606.ENSP00000378402	0	0	0	0	0	0.053	0	0.425	0.432
SATB2	ZBTB20	9606.ENSP00000401112	9606.ENSP00000419153	0	0	0	0	0	0.091	0	0.496	0.522
SCN3A	SCN8A	9606.ENSP00000283254	9606.ENSP00000346534	0	0	0.052	0.976	0.097	0.087	0.540	0.063	0.602
SCN8A	STXBP1	9606.ENSP00000346534	9606.ENSP00000362399	0	0	0	0	0.116	0	0	0.671	0.697
SDHB	SDHC	9606.ENSP00000364649	9606.ENSP00000356953	0.231	0	0	0	0.981	0.978	0.980	0.999	0.999
SDHB	SDHD	9606.ENSP00000364649	9606.ENSP00000364699	0	0	0	0	0.978	0.970	0.979	0.999	0.999
SDHC	YY1	9606.ENSP00000356953	9606.ENSP00000262238	0	0	0	0	0.042	0.044	0	0.479	0.481
SDHC	SOX2	9606.ENSP00000356953	9606.ENSP00000323588	0	0	0	0	0	0	0	0.419	0.418
SDHC	SMAD4	9606.ENSP00000356953	9606.ENSP00000341551	0	0	0	0	0.049	0	0	0.446	0.450
SDHC	SDHD	9606.ENSP00000356953	9606.ENSP00000364699	0	0	0	0	0.977	0.984	0.979	0.999	0.999
SDHD	TSC2	9606.ENSP00000364699	9606.ENSP00000219476	0	0	0	0	0.042	0	0	0.400	0.400
SEC23B	USF3	9606.ENSP00000338844	9606.ENSP00000320794	0	0	0	0	0	0	0	0.419	0.419
SEC23B	SEC24C	9606.ENSP00000338844	9606.ENSP00000343405	0	0	0	0.556	0.373	0.997	0.540	0.668	0.999
SHANK3	TSC2	9606.ENSP00000489407	9606.ENSP00000219476	0	0	0	0	0.047	0	0	0.534	0.537
SHANK3	TSC1	9606.ENSP00000489407	9606.ENSP00000298552	0	0	0	0	0.042	0.099	0	0.629	0.652
SHANK3	STXBP1	9606.ENSP00000489407	9606.ENSP00000362399	0	0	0	0	0.074	0	0	0.394	0.415
SHANK3	TBR1	9606.ENSP00000489407	9606.ENSP00000374205	0	0	0	0	0.067	0.046	0	0.418	0.436
SIN3A	YY1	9606.ENSP00000378402	9606.ENSP00000262238	0	0	0	0	0.174	0.100	0	0.810	0.846
SIN3A	YWHAG	9606.ENSP00000378402	9606.ENSP00000306330	0	0	0	0	0.042	0.124	0	0.387	0.440
SIN3A	SOX2	9606.ENSP00000378402	9606.ENSP00000323588	0	0	0	0	0.042	0.354	0	0.609	0.737
SIN3A	SMAD4	9606.ENSP00000378402	9606.ENSP00000341551	0	0	0	0	0.084	0.095	0	0.570	0.612
SIN3A	SMC3	9606.ENSP00000378402	9606.ENSP00000354720	0	0	0	0	0.118	0.097	0	0.502	0.569
SIN3A	SNRPN	9606.ENSP00000378402	9606.ENSP00000494831	0	0	0	0	0	0	0	0.474	0.474
SLC9A6	ZDHHC9	9606.ENSP00000359729	9606.ENSP00000349689	0	0	0	0	0.131	0	0	0.344	0.405
SLC9A6	STXBP1	9606.ENSP00000359729	9606.ENSP00000362399	0	0	0	0	0.073	0	0	0.395	0.415
SMAD4	YY1	9606.ENSP00000341551	9606.ENSP00000262238	0	0	0	0	0.138	0.311	0	0.548	0.708
SMAD4	SOX2	9606.ENSP00000341551	9606.ENSP00000323588	0	0	0	0	0	0.070	0.500	0.644	0.820
SMAD4	WWOX	9606.ENSP00000341551	9606.ENSP00000457230	0	0	0	0	0	0.324	0	0.408	0.583
SMC1A	YY1	9606.ENSP00000323421	9606.ENSP00000262238	0	0	0	0	0.099	0.310	0	0.472	0.643
SMC1A	SMC3	9606.ENSP00000323421	9606.ENSP00000354720	0	0	0	0.567	0.557	0.998	0.900	0.993	0.999
SMC3	YY1	9606.ENSP00000354720	9606.ENSP00000262238	0	0	0	0	0.084	0.103	0	0.565	0.611
SMC3	SOX2	9606.ENSP00000354720	9606.ENSP00000323588	0	0	0	0	0.049	0.425	0	0.211	0.531
SOX2	YY1	9606.ENSP00000323588	9606.ENSP00000262238	0	0	0	0	0	0.098	0	0.759	0.774
SOX2	TBR1	9606.ENSP00000323588	9606.ENSP00000374205	0	0	0	0	0	0.064	0	0.599	0.609
SOX2	SOX3	9606.ENSP00000323588	9606.ENSP00000359567	0	0	0	0.945	0.210	0.292	0	0.449	0.664
SOX2	TCF12	9606.ENSP00000323588	9606.ENSP00000388940	0	0	0	0	0.043	0.292	0	0.580	0.691
SOX3	STS	9606.ENSP00000359567	9606.ENSP00000217961	0	0	0	0	0.092	0	0	0.434	0.464
STXBP1	SYNJ1	9606.ENSP00000362399	9606.ENSP00000409667	0	0	0	0	0.073	0	0	0.494	0.511
SZT2	TSC2	9606.ENSP00000457168	9606.ENSP00000219476	0	0	0	0	0.143	0	0	0.348	0.417
TCF12	YY1	9606.ENSP00000388940	9606.ENSP00000262238	0	0	0	0	0.069	0.066	0	0.417	0.449
TSC1	TSC2	9606.ENSP00000298552	9606.ENSP00000219476	0	0	0	0	0.154	0.997	0.900	0.999	0.999
TSC1	YWHAG	9606.ENSP00000298552	9606.ENSP00000306330	0	0	0	0	0.122	0.515	0	0.155	0.609
TSC2	YWHAG	9606.ENSP00000219476	9606.ENSP00000306330	0	0	0	0	0.044	0.632	0.500	0.188	0.838
UPF3B	ZDHHC9	9606.ENSP00000276201	9606.ENSP00000349689	0	0	0	0	0.102	0	0	0.482	0.515
WWOX	YWHAG	9606.ENSP00000457230	9606.ENSP00000306330	0	0	0	0	0.353	0.074	0	0.080	0.401
